india and japan prime ministers meet in tokyo	die premierminister indiens und japans trafen sich in tokio
spring has sprung a wintry surprise on southern south australia bringing heavy showers and strong winds that have affected flights at adelaide airport	der fruhling hat sudaustralien eine winterliche uberraschung beschert mit heftigen schauern und starkem wind die fluge vom flughafen adelaide aus beeintrachtigten
a further of rain fell on the city in the evening up to following the that fell overnight on sunday	am abend bis uhr fielen weitere regen auf die stadt nach die bereits in der nacht zum sonntag niedergegangen waren
the latest rain came courtesy of a couple of short blustery showers including a burst that started just before that dumped almost in about minutes	der letzte niederschlag war das ergebnis einer reihe kurzer sturmischer schauer einschlielich eines gusses der kurz vor uhr begann und fur fast niederschlag in etwa minuten sorgte
after winter delivered an early dose of spring last week temperatures dropped again on monday to a high of just in the city	nachdem der winter letzte woche fur eine fruhe dosis fruhling gesorgt hatte fielen die temperaturen in der stadt am montag wieder auf einen hochstwert von nur
the squally conditions are believed to have contributed to the delayed landing of a virgin airlines flight from melbourne to adelaide	die boigen wetterbedingungen haben wahrscheinlich zu der verspateten landung eines fluges von virgin airlines von melbourne nach adelaide gefuhrt
the plane was scheduled to land just after but was hit by windshear a sudden change in wind speed or direction over a short distance and was forced to pull out	das flugzeug hatte kurz nach uhr landen sollen wurde jedoch von einem scherwind getroffen einer plotzlichen veranderung der windgeschwindigkeit oder richtung uber eine kurze entfernung und musste durchstarten
wind gusts were reaching about on the ground at adelaide airport at the time	windstoe erreichten zu diesem zeitpunkt etwa kmh am boden auf dem flughafen adelaide
flight data showed the plane had to pull out of second landing and the plane eventually touched down about	die flugdaten zeigten dass das flugzeug auch bei einem zweiten landeanflug durchstarten musste und schlielich um etwa uhr aufsetzte
that flights delay caused the subsequent delay of a few other flights including an emirates flight from dubai and a qantas flight from sydney	die flugverzogerung fuhrte in der folge zur verspatung einiger anderer fluge einschlielich eines emiratesflugs aus dubai und eines quantasflugs aus sydney
a top of is forecast for adelaide on tuesday with the chance of a shower or two	fur adelaide ist am dienstag eine hochsttemperatur von vorhergesagt mit moglichen schauern
matthies thinks high time for the internet of things	matthies meint hochste zeit zum groen vernetzen
faced with runaway advances in consumer technology which threaten to turn our homes into hightech control rooms our reporter bernd matthies takes heart from one electronic gadget that he really feels at home with	angesichts des galoppierenden technischen fortschritts der unser behagliches zuhause in hightechschaltzentralen zu verwandeln droht trostet sich unser kolumnist bernd matthies mit einem uberaus vertrauten elektronischen zubehor
as i write this my eye catches the spiral cable which connects the handset to the telephone and im thinking wow how retro is that then	wahrend ich das hier schreibe fallt mein blick auf das spiralkabel das den horer mit dem telefon verbindet und ich denke boah wie retro ist das denn
but it started me thinking if the cable was not there all the handsets would be lying scattered around the house in no time at all and that would be even more retro	aber dahinter steckt eine uberlegung wenn das kabel nicht ware wurden in kurzester zeit samtliche horer herrenlos im haus herumfliegen und das ware noch bedeutend mehr retro
in any case in the elephantine elephantine	ohnehin gilt ja auf dem ekeltronischen ekeltronischen
no a typing error electronics sector the basic rule is that the latest wonder of today is electronic rubbish tomorrow once bought its out of date	nein tippfehler elektronischen sektor die regel dass die weltneuheit von heute der elektroschrott von morgen ist gekauft veraltet
and anyone for example who still has an old crt tv in their living room is merely announcing to the world that theyre not interested in tvs	und wer zum beispiel heute noch einen rohrenfernseher im wohnzimmer hat der sagt damit lediglich dass er fernsehen grundsatzlich ablehnt
so why these thoughts	weshalb diese uberlegungen
because the international consumer electronics fair ifa in berlin once again showed us how incompetent we are when it comes to questions about technology	weil uns das andrangen der ifa am funkturm in dieser woche wieder unsere absolute inkompetenz in fragen der elektronik vor augen fuhrt
the layman who once knew blind how to operate a washing machine and a cdplayer is today faced with highfalutin expert talk about an array of gadgets the purpose of which he doesnt even understand connected home wearables health care and urban technologies are what the press office promise us	der laie der fruher waschmaschine und cdspieler blind beherrschte begreift heute nicht einmal den zweck der gerate die mit unfassbar eitlem expertensprech vor ihm ausgebreitet werden connected home wearables health care und urban technologies verspricht uns die pressestelle
yes and	ja gehts noch
what do you say to people who clearly talk such guff voluntarily	woruber soll man reden mit leuten die offenbar freiwillig solchen quark ausbreiten
really theyve been trying to sell us the internet of things for our homes for the last years	im grunde geht es ja seit etwa jahren vor allem darum dass wir gefalligst unser haus vernetzen sollen
so that your yoghurt can place itself on your shopping list so that your firealarm can tell you when youre lying on the beach in the maldives that theres a fire in your study back home	damit sich der joghurt selbst nachbestellt damit uns der brandmelder im urlaub auf den malediven mitteilt dass es im arbeitszimmer grad brennt
and wouldnt it be wonderful if we could set our home airconditioning to switch on just before we get back from the office	und ware es nicht wunderbar wenn wir vom buro aus die klimaanlage auf unsere baldige ankunft
